_id,sport_category_id,sport_name_ja,sport_name_en,sport_type,sport_description,stadium_id,sport_date,disabled
1,1,開・閉会式,Opening and Closing,セレモニー,開会式が行われます。,1,10/1,0
2,1,陸上競技,Athletics,全種別,陸上競技は、「走る・跳ぶ・投げる」を競技化した最もシンプルなスポーツです。トラック競技とフィールド競技があり、トラック競技は、短距離走、中・長距離走、ハードル・障害物競走、リレー、競歩の5つに大別されます。フィールド競技は、走高跳、棒高跳、走幅跳、三段跳の「跳躍競技」と、砲丸投、円盤投、ハンマー投、やり投の「投てき競技」の2つに分けられます。代表選手のスピード、パワー、テクニック、躍動感とともに、スタート前の表情やレース中の駆け引き、ゴール直前での激しい競り合いなど見どころがいっぱいです。,1,"10/7,10/8,10/9,10/10,10/11",0
3,1,サッカー,Football,成年男子,サッカーは、手や腕を使わないでボールを奪い合い、脚でボールを蹴ったり、ヘディングしたりして相手ゴールにボールを入れ、得点を競い合うスポーツです。国民体育大会での競技時間は、前・後半各35分の計70分間で行われます。チームの作戦やフォーメーション、相手をかわすドリブル、強烈なシュート、1本の創造性豊かなパスやサイドチェンジなど、素晴らしい個人技や戦術が楽しめます。,4,"10/2,10/3,10/4,10/5,10/6",0
4,1,サッカー,Football,女子,サッカーは、手や腕を使わないでボールを奪い合い、脚でボールを蹴ったり、ヘディングしたりして相手ゴールにボールを入れ、得点を競い合うスポーツです。国民体育大会での競技時間は、前・後半各35分の計70分間で行われます。チームの作戦やフォーメーション、相手をかわすドリブル、強烈なシュート、1本の創造性豊かなパスやサイドチェンジなど、素晴らしい個人技や戦術が楽しめます。,4,"10/2,10/3,10/5",0
5,1,サッカー,Football,少年男子,サッカーは、手や腕を使わないでボールを奪い合い、脚でボールを蹴ったり、ヘディングしたりして相手ゴールにボールを入れ、得点を競い合うスポーツです。国民体育大会での競技時間は、前・後半各35分の計70分間で行われます。チームの作戦やフォーメーション、相手をかわすドリブル、強烈なシュート、1本の創造性豊かなパスやサイドチェンジなど、素晴らしい個人技や戦術が楽しめます。,8,"10/2,10/3,10/4,10/5,10/6",0
6,1,テニス,Tennis,成年男子,テニスは、ネットを挟んでラケットでボールをワンバウンド以内で打ち合い、得点を競うスポーツです。国民体育大会では、都道府県対抗の団体戦(シングルス2試合、ダブルス1試合)をトーナメント方式により行います。先にシングルス2試合を行い、2勝すれば勝利となり、1対1となった場合にはダブルス1試合を行います。しなやかな腕の振りから打ち出される強烈なサーブ、コースを狙った正確なストローク、ネット際での激しいボレー戦など、白熱したラリーの応酬が見ものです。さらに、ダブルスでは絶妙なコンビネーションや状況に応じて攻撃を仕掛けるゲームの駆け引きも見落とせないポイントです。,10,"10/2,10/3,10/4,10/5",0
7,1,テニス,Tennis,成年女子,テニスは、ネットを挟んでラケットでボールをワンバウンド以内で打ち合い、得点を競うスポーツです。国民体育大会では、都道府県対抗の団体戦(シングルス2試合、ダブルス1試合)をトーナメント方式により行います。先にシングルス2試合を行い、2勝すれば勝利となり、1対1となった場合にはダブルス1試合を行います。しなやかな腕の振りから打ち出される強烈なサーブ、コースを狙った正確なストローク、ネット際での激しいボレー戦など、白熱したラリーの応酬が見ものです。さらに、ダブルスでは絶妙なコンビネーションや状況に応じて攻撃を仕掛けるゲームの駆け引きも見落とせないポイントです。,10,"10/2,10/3,10/4,10/5",0
8,1,テニス,Tennis,少年男子,テニスは、ネットを挟んでラケットでボールをワンバウンド以内で打ち合い、得点を競うスポーツです。国民体育大会では、都道府県対抗の団体戦(シングルス2試合、ダブルス1試合)をトーナメント方式により行います。先にシングルス2試合を行い、2勝すれば勝利となり、1対1となった場合にはダブルス1試合を行います。しなやかな腕の振りから打ち出される強烈なサーブ、コースを狙った正確なストローク、ネット際での激しいボレー戦など、白熱したラリーの応酬が見ものです。さらに、ダブルスでは絶妙なコンビネーションや状況に応じて攻撃を仕掛けるゲームの駆け引きも見落とせないポイントです。,11,"10/2,10/3,10/4,10/5",0
9,1,テニス,Tennis,少年女子,テニスは、ネットを挟んでラケットでボールをワンバウンド以内で打ち合い、得点を競うスポーツです。国民体育大会では、都道府県対抗の団体戦(シングルス2試合、ダブルス1試合)をトーナメント方式により行います。先にシングルス2試合を行い、2勝すれば勝利となり、1対1となった場合にはダブルス1試合を行います。しなやかな腕の振りから打ち出される強烈なサーブ、コースを狙った正確なストローク、ネット際での激しいボレー戦など、白熱したラリーの応酬が見ものです。さらに、ダブルスでは絶妙なコンビネーションや状況に応じて攻撃を仕掛けるゲームの駆け引きも見落とせないポイントです。,11,"10/2,10/3,10/4,10/5",0
10,1,ボート,Rowing,全種別,"国民体育大会のボート競技は、川や湖などの1,000mのコースで速さを競います。使用する競漕艇は、1本のオールで漕ぐ舵手つきフォアと、2本のオールで漕ぐ舵手つきクォドルプル、ダブルスカル、シングルスカルの4種類です。舵手つきフォア・舵手つきクォドルプルには、漕手4名(体重制限なし)・舵手1名(男子55kg以上、女子50kg以上)、ダブルスカルには漕手2名、シングルスカルは漕手1名が乗艇します。特にダブルスカルとシングルスカルは舵がなく、漕手は左右2本のオールで艇を直進させるため、高度な技術を必要とします。勝敗は、艇の先端がゴールラインに達した順序で決定し、気象条件やペース配分の駆け引きが相まって、ゴール直前まで白熱した戦いが続きます。",12,"10/6,10/7,10/8,10/9",0
11,1,ホッケー,Hockey,全種別,ホッケーは、スティックで行うサッカーのようなものです。サッカーと同様に1チームは1人のゴールキーパーと10人のフィールドプレイヤーの計11人で構成されています。 プレイヤーは常にスティックを持ってプレイしなければならず、そのスティックも片面(平らな面)でしか、ボールを扱えません。片面しか使えないスティックを巧みに持ちかえ、パスやドリブル、シュートをするプレイヤーのスティックワークの妙技や、守備から攻撃へ、攻撃から守備へと切り替わるスピーディーなゲーム展開が見ものです。,13,"10/6,10/7,10/8,10/9,10/10",0
12,1,ボクシング,Boxing,成年男子,ボクシングは、手にグローブをつけて相手と打ち合い、ポイント勝ちやノックダウン勝ちなどにより勝敗を決める競技です。激しさや力強さ、逞しさだけが優先するものではなく、攻撃と防御のバランス、自己の感情を理性でコントロールする強い意志と冷静な判断力を必要とし、選手の華麗で力強い技が大きな見どころです。希望郷いわて国体から男子(成年、少年)に加えて女子(成年)が正式競技に採用されました。,15,"10/6,10/7,10/8,10/9,10/10",0
13,1,ボクシング,Boxing,少年男子,ボクシングは、手にグローブをつけて相手と打ち合い、ポイント勝ちやノックダウン勝ちなどにより勝敗を決める競技です。激しさや力強さ、逞しさだけが優先するものではなく、攻撃と防御のバランス、自己の感情を理性でコントロールする強い意志と冷静な判断力を必要とし、選手の華麗で力強い技が大きな見どころです。希望郷いわて国体から男子(成年、少年)に加えて女子(成年)が正式競技に採用されました。,15,"10/6,10/7,10/8,10/9,10/10",0
14,1,ボクシング,Boxing,成年女子,ボクシングは、手にグローブをつけて相手と打ち合い、ポイント勝ちやノックダウン勝ちなどにより勝敗を決める競技です。激しさや力強さ、逞しさだけが優先するものではなく、攻撃と防御のバランス、自己の感情を理性でコントロールする強い意志と冷静な判断力を必要とし、選手の華麗で力強い技が大きな見どころです。希望郷いわて国体から男子(成年、少年)に加えて女子(成年)が正式競技に採用されました。,15,"10/6,10/8,10/9,10/10",0
15,1,バレーボール,Volleyball,成年男子,バレーボールは、コート中央のネット越しにボールを3回以内で相手コートに返し得点を競うスポーツです。国民体育大会では、トーナメント方式で行い、得点はサービス権の有無に関係なく、ラリーに打ち勝った場合に1点が与えられます。得点を獲得するためにさまざまな戦術が用いられますが、戦術を実行するためには、相手から返されたボールをうまく処理し、セッター(スパイクのためのトスを上げる選手)へ回すことが重要となります。男子はパワーと高さ、女子は粘りのレシーブとコンビバレーが見どころです。ボールをつなげて相手に返していくラリーの応酬と、スピーディーな試合展開にご注目下さい。,16,"10/2,10/3,10/4,10/5",0
16,1,バレーボール,Volleyball,成年女子,バレーボールは、コート中央のネット越しにボールを3回以内で相手コートに返し得点を競うスポーツです。国民体育大会では、トーナメント方式で行い、得点はサービス権の有無に関係なく、ラリーに打ち勝った場合に1点が与えられます。得点を獲得するためにさまざまな戦術が用いられますが、戦術を実行するためには、相手から返されたボールをうまく処理し、セッター(スパイクのためのトスを上げる選手)へ回すことが重要となります。男子はパワーと高さ、女子は粘りのレシーブとコンビバレーが見どころです。ボールをつなげて相手に返していくラリーの応酬と、スピーディーな試合展開にご注目下さい。,17,"10/2,10/3,10/4,10/5",0
17,1,バレーボール,Volleyball,少年男女,バレーボールは、コート中央のネット越しにボールを3回以内で相手コートに返し得点を競うスポーツです。国民体育大会では、トーナメント方式で行い、得点はサービス権の有無に関係なく、ラリーに打ち勝った場合に1点が与えられます。得点を獲得するためにさまざまな戦術が用いられますが、戦術を実行するためには、相手から返されたボールをうまく処理し、セッター(スパイクのためのトスを上げる選手)へ回すことが重要となります。男子はパワーと高さ、女子は粘りのレシーブとコンビバレーが見どころです。ボールをつなげて相手に返していくラリーの応酬と、スピーディーな試合展開にご注目下さい。,19,"10/2,10/3,10/4,10/5",0
